,last_name_x,last_name_y, first_name_x,player_id,pitch_hand,pitch_type,pitch_name_x,pitch_name_y,pitches,n_pitches,pitch_usage,release_speed,spin_rate,movement_inches,spin_eff%,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,diff_measured_inferred,diff2,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label,team_name_alt,bauer_units
0,Abreu,Abreu, Bryan,650556,R,SL,Slider,Slider,256,256,37.2,88.9,2526,6.2,32,0.2694586223935681,0.3247686313582881,316.25770197168987,314.73458424541286,1.5231177262770077,1.5231177262770066,1.9,5,63,0.246,0.456,0.338,38.0,28.6,22.5,0.253,0.423,0.332,45.0,0,7,30,7,30,0,0,7:30,7:30, 0H 00M,HOU,28.41394825646794
1,Abreu,Abreu, Bryan,650556,R,FF,4-Seamer,4-Seam Fastball,310,308,45.0,95.7,2216,18.6,93,0.8812735863272737,0.9252140734058606,149.99529284818854,153.03237226004546,-3.037079411856922,3.0370794118569107,-0.1,0,66,0.273,0.418,0.379,23.9,12.1,11.4,0.274,0.428,0.367,34.0,0,1,0,1,0,0,0,1:00,1:00, 0H 00M,HOU,23.15569487983281
2,Adams,Adams, Austin,613534,R,SL,Slider,Slider,838,805,87.1,86.9,2837,10.8,37,0.4562569334288421,0.3709528733669506,291.6640553817938,273.33767517077223,18.32638021102156,18.326380211021576,-0.8,-7,217,0.145,0.208,0.288,35.3,33.2,28.7,0.158,0.256,0.307,23.7,-45,8,15,9,0,0,45,8:15,9:00,-0H 45M,SD,32.64672036823935
3,Akin,Akin, Keegan,669211,L,CH,Changeup,Changeup,344,341,19.5,81.9,1936,17.4,95,0.8305590238383965,0.9531927548916218,236.4071902774816,246.98673903276563,-10.579548755284064,10.579548755284078,2.8,9,100,0.333,0.494,0.405,29.1,16.0,17.6,0.248,0.425,0.334,38.9,15,10,0,9,45,0,15,10:00,9:45,+0H 15M,BAL,23.638583638583636
4,Akin,Akin, Keegan,669211,L,FF,4-Seamer,4-Seam Fastball,1011,1009,57.2,92.0,2337,20.7,97,0.955158685851306,0.9691710524672243,216.4806061210885,212.7945204755154,3.686085645573087,3.6860856455730735,-0.6,-6,231,0.25,0.451,0.331,20.0,22.1,14.2,0.253,0.487,0.353,43.9,-15,10,45,11,0,0,15,10:45,11:00,-0H 15M,BAL,25.402173913043477
5,Akin,Akin, Keegan,669211,L,SL,Slider,Slider,344,342,19.5,84.2,2219,5.9,29,0.2684541535849127,0.2898380801146832,143.05880304756425,111.49203752223644,31.566765525327824,31.56676552532784,3.6,12,79,0.347,0.611,0.43,21.9,16.5,11.5,0.307,0.495,0.371,48.3,-60,1,15,2,15,1,0,1:15,2:15,-1H 00M,BAL,26.353919239904986
6,Alcala,Alcala, Jorge,660896,R,SL,Slider,Slider,354,353,40.7,89.7,2435,5.4,30,0.2438295128008207,0.2987663715218557,184.53127364739063,224.43275713355055,-39.90148348615992,39.90148348615991,-2.4,-9,100,0.181,0.277,0.223,31.9,31.0,25.8,0.198,0.31,0.245,32.8,75,11,45,10,30,1,15,11:45,10:30,+1H 15M,MIN,27.14604236343367
7,Alcala,Alcala, Jorge,660896,R,FF,4-Seamer,4-Seam Fastball,318,318,36.6,97.4,2346,19.1,96,0.9079539995496488,0.9562835350115444,139.9980817946636,144.3607762553077,-4.362694460644121,4.362694460644132,-0.4,-1,79,0.229,0.457,0.322,26.4,21.5,18.7,0.244,0.502,0.344,43.6,0,1,15,1,15,0,0,1:15,1:15, 0H 00M,MIN,24.08624229979466
8,Alcantara,Alcantara, Sandy,645261,R,FF,4-Seamer,4-Seam Fastball,668,667,21.6,98.1,2239,17.2,91,0.8360559382854782,0.9057865703016772,131.72295542952753,139.75311801299375,-8.030162583466222,8.030162583466227,0.6,4,170,0.234,0.399,0.309,23.3,25.9,17.1,0.24,0.417,0.305,44.3,15,1,30,1,15,0,15,1:30,1:15,+0H 15M,MIA,22.823649337410806
9,Alcantara,Alcantara, Sandy,645261,R,SL,Slider,Slider,746,743,24.1,90.4,2359,3.8,18,0.1748251806628216,0.1837856531928861,176.86706202953377,160.08202768728253,16.785034342251237,16.785034342251226,-0.2,-1,200,0.189,0.335,0.268,38.3,32.0,27.7,0.186,0.31,0.244,39.0,-45,12,0,12,45,0,45,12:00,12:45,-0H 45M,MIA,26.09513274336283
