pitch_count,woba,is_strike,is_ball,wraa_change
0-0,0.314,1,0,-0.043
0-0,0.314,0,1,0.034
0-1,0.262,1,0,-0.055
0-1,0.262,0,1,0.026
0-2,0.196,1,0,-0.162
0-2,0.196,0,1,0.022
1-0,0.355,1,0,-0.051
1-0,0.355,0,1,0.067
1-1,0.293,1,0,-0.058
1-1,0.293,0,1,0.049
1-2,0.223,1,0,-0.184
1-2,0.223,0,1,0.041
2-0,0.436,1,0,-0.069
2-0,0.436,0,1,0.154
2-1,0.352,1,0,-0.065
2-1,0.352,0,1,0.098
2-2,0.273,1,0,-0.226
2-2,0.273,0,1,0.092
3-0,0.622,1,0,-0.126
3-0,0.622,0,1,0.058
3-1,0.470,1,0,-0.071
3-1,0.47,0,1,0.184
3-2,0.384,1,0,-0.318
3-2,0.384,0,1,0.255
