,,,,,,,,,,,,,,,,,,,,,
Player ID:,976684,,,,,,,,,,,,,,,,,,,,
Player Name:,Davis Feldman,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number
1,Tue Apr 19 2022 7:48:11 PM,1650397691,Fastball,N,11.28,17.38,89.22,2114.7,1999,94.5,1:8,1,15.9,10.7,-2.18,-2.29,4.87,1.93,19.04,976684@1650397691,RBB21YIQQ31R
2,Tue Apr 19 2022 7:48:22 PM,1650397702,Fastball,N,23.54,37.81,89.37,2278.9,2174.5,95.4,1:6,0.9,17.2,11.4,-1.48,-0.74,4.90,2.01,17.42,976684@1650397702,RBB21YIQQ31R
3,Tue Apr 19 2022 7:48:31 PM,1650397711,Fastball,Y,-1.79,30.74,89.47,2327.2,2176.9,93.5,0:52,0.9,17.8,8.7,-2.63,-1.49,4.70,1.73,20.71,976684@1650397711,RBB21YIQQ31R
4,Tue Apr 19 2022 7:49:15 PM,1650397755,Fastball,Y,3.36,38.96,91.1,2455.1,2165.9,88.2,0:48,0.9,18.6,8.3,-1.97,-0.50,4.81,1.83,28.09,976684@1650397755,RBB21YIQQ31R
5,Tue Apr 19 2022 7:50:16 PM,1650397816,Fastball,Y,-2.25,26.57,91.56,2266.1,2032.1,89.7,0:54,0.9,16.4,8.3,-2.76,-1.67,4.71,1.76,26.27,976684@1650397816,RBB21YIQQ31R
6,Tue Apr 19 2022 7:50:33 PM,1650397833,Fastball,Y,-2.63,24.26,92.8,2229.2,2038.2,91.4,0:50,0.7,16.9,7.8,-3.52,-0.64,4.85,1.91,23.89,976684@1650397833,RBB21YIQQ31R
7,Tue Apr 19 2022 7:51:03 PM,1650397863,Fastball,N,16.87,25.03,91.4,2266.4,2150.2,94.9,1:4,0.9,16.6,10.5,-1.66,-1.39,4.72,1.66,18.43,976684@1650397863,RBB21YIQQ31R
8,Tue Apr 19 2022 7:51:24 PM,1650397884,Slider,Y,2.66,39.96,81.51,2860.2,1029.6,36,7:34,0.8,-5.7,-7.4,-0.74,1.47,4.74,1.76,68.90,976684@1650397884,RBB21YIQQ31R
9,Tue Apr 19 2022 7:51:43 PM,1650397903,Fastball,Y,9.06,28.69,92.08,2295.3,2094.8,91.3,0:52,0.8,17.0,8.3,-1.84,-0.76,4.76,1.51,24.13,976684@1650397903,RBB21YIQQ31R
10,Tue Apr 19 2022 7:52:19 PM,1650397939,ChangeUp,N,14.72,29.15,81.77,1527.4,1467.2,96.1,1:50,0.9,10.8,15.5,-2.24,0.69,4.64,2.05,16.14,976684@1650397939,RBB21YIQQ31R
