,player_name,p_throws,pitch_type,FF_count,SI_count,FC_count,velo,pfx_x,pfx_z,arm_angle,release_extension,RV,RV/100,xRV,xRV/100,CU_count,SL_count,KC_count,CH_count,FS_count
0,"Abbott, Cory",R,FF,207.0,0.0,0.0,92.6,9.58,17.19,43.3,6.19,17.376,8.39,14.942,7.22,0.0,0.0,0.0,0.0,0.0
1,"Abreu, Albert",R,FF,103.0,0.0,0.0,97.9,14.14,13.97,40.93,6.46,2.765,2.68,3.906,3.7899999999999996,0.0,0.0,0.0,0.0,0.0
2,"Abreu, Albert",R,SI,0.0,212.0,0.0,97.9,14.14,13.97,40.93,6.46,10.675,5.04,10.112,4.77,0.0,0.0,0.0,0.0,0.0
3,"Abreu, Bryan",R,FF,310.0,0.0,0.0,95.7,8.04,17.04,28.73,6.33,14.225,4.59,11.463,3.7,0.0,0.0,0.0,0.0,0.0
4,"Abreu, Bryan",R,SI,0.0,2.0,0.0,95.7,8.04,17.04,28.73,6.33,-0.011,-0.55,-0.023,-1.15,0.0,0.0,0.0,0.0,0.0
5,"Acevedo, Domingo",R,FF,88.0,0.0,0.0,92.9,12.23,15.09,31.0,5.76,6.004000000000001,6.820000000000001,5.329,6.06,0.0,0.0,0.0,0.0,0.0
6,"Adam, Jason",R,FF,125.0,0.0,0.0,93.8,7.03,16.76,34.5,6.73,7.372999999999999,5.9,8.474,6.78,0.0,0.0,0.0,0.0,0.0
7,"Adams, Austin",R,FF,124.0,0.0,0.0,94.1,8.72,9.04,50.6,5.88,5.4190000000000005,4.37,8.787,7.09,0.0,0.0,0.0,0.0,0.0
8,"Adon, Joan",R,FF,50.0,0.0,0.0,95.1,10.88,15.85,42.6,6.28,7.485,14.97,5.2829999999999995,10.57,0.0,0.0,0.0,0.0,0.0
9,"Adon, Joan",R,SI,0.0,1.0,0.0,95.1,10.88,15.85,42.6,6.28,0.001,0.1,0.003,0.3,0.0,0.0,0.0,0.0,0.0
10,"Alaniz, R.J.",R,SI,0.0,37.0,0.0,92.8,16.89,9.92,39.0,5.82,-0.012999999999999776,-0.04,1.1139999999999999,3.01,0.0,0.0,0.0,0.0,0.0
11,"Alcala, Jorge",R,FF,324.0,0.0,0.0,97.4,11.56,15.28,38.08,5.68,11.02,3.3999999999999995,15.384,4.75,0.0,0.0,0.0,0.0,0.0
12,"Alcala, Jorge",R,SI,0.0,52.0,0.0,97.4,11.56,15.28,38.08,5.68,2.076,3.99,4.066,7.82,0.0,0.0,0.0,0.0,0.0
13,"Alcantara, Sandy",R,FF,668.0,0.0,0.0,97.8,14.38,10.12,38.68,5.93,5.536999999999999,0.83,13.694999999999999,2.05,0.0,0.0,0.0,0.0,0.0
14,"Alcantara, Sandy",R,SI,0.0,874.0,0.0,97.8,14.38,10.12,38.68,5.93,44.473,5.09,42.82300000000001,4.9,0.0,0.0,0.0,0.0,0.0
15,"Alcántara, Sergio",R,FC,0.0,0.0,1.0,88.3,7.44,18.08,32.43,5.3,0.001,0.10000000000000002,0.111,11.1,0.0,0.0,0.0,0.0,0.0
16,"Alcántara, Sergio",R,FF,2.0,0.0,0.0,88.3,7.44,18.08,32.43,5.3,-0.17700000000000002,-8.85,0.064,3.2000000000000006,0.0,0.0,0.0,0.0,0.0
17,"Alexy, A.J.",R,FF,231.0,0.0,0.0,93.3,4.22,19.22,22.9,6.72,5.681000000000001,2.46,7.324,3.17,0.0,0.0,0.0,0.0,0.0
18,"Almonte, Yency",R,FF,393.0,0.0,0.0,94.1,7.49,10.95,44.72,6.81,24.385,6.2,26.071,6.63,0.0,0.0,0.0,0.0,0.0
19,"Almonte, Yency",R,SI,0.0,30.0,0.0,94.1,7.49,10.95,44.72,6.81,6.063000000000001,20.21,3.8280000000000003,12.76,0.0,0.0,0.0,0.0,0.0
20,"Altavilla, Dan",R,FF,11.0,0.0,0.0,96.1,12.11,15.52,43.7,5.73,-1.065,-9.68,-0.136,-1.24,0.0,0.0,0.0,0.0,0.0
21,"Alzolay, Adbert",R,FC,0.0,0.0,129.0,93.4,10.11,13.12,31.43,6.3,7.367,5.71,6.912,5.36,0.0,0.0,0.0,0.0,0.0
22,"Alzolay, Adbert",R,FF,361.0,0.0,0.0,93.4,10.11,13.12,31.43,6.3,10.552,2.92,13.036,3.61,0.0,0.0,0.0,0.0,0.0
23,"Alzolay, Adbert",R,SI,0.0,528.0,0.0,93.4,10.11,13.12,31.43,6.3,43.198,8.18,42.718,8.09,0.0,0.0,0.0,0.0,0.0
24,"Anderson, Chase",R,FC,0.0,0.0,191.0,89.7,3.18,14.02,15.96,5.89,6.066,3.18,10.822,5.67,0.0,0.0,0.0,0.0,0.0
25,"Anderson, Chase",R,FF,275.0,0.0,0.0,89.7,3.18,14.02,15.96,5.89,16.877,6.14,20.384999999999998,7.41,0.0,0.0,0.0,0.0,0.0
26,"Anderson, Chase",R,SI,0.0,56.0,0.0,89.7,3.18,14.02,15.96,5.89,5.068,9.05,4.679,8.36,0.0,0.0,0.0,0.0,0.0
27,"Anderson, Drew",R,FF,174.0,0.0,0.0,92.5,6.42,18.19,27.5,6.32,3.8160000000000007,2.19,5.8469999999999995,3.36,0.0,0.0,0.0,0.0,0.0
28,"Anderson, Ian",R,FF,1024.0,0.0,0.0,94.6,5.42,17.42,26.8,6.95,22.006,2.15,35.722,3.49,0.0,0.0,0.0,0.0,0.0
29,"Anderson, Ian",R,SI,0.0,6.0,0.0,94.6,5.42,17.42,26.8,6.95,1.158,19.3,0.278,4.63,0.0,0.0,0.0,0.0,0.0
30,"Anderson, Nick",R,FF,68.0,0.0,0.0,93.0,5.02,18.25,15.6,5.87,3.164,4.65,1.103,1.62,0.0,0.0,0.0,0.0,0.0
31,"Anderson, Shaun",R,FF,144.0,0.0,0.0,93.3,0.26,13.35,33.37,6.67,15.927000000000001,11.06,13.8,9.58,0.0,0.0,0.0,0.0,0.0
32,"Anderson, Shaun",R,SI,0.0,12.0,0.0,93.3,0.26,13.35,33.37,6.67,0.6209999999999999,5.17,0.8079999999999999,6.73,0.0,0.0,0.0,0.0,0.0
33,"Anderson, Tanner",R,FC,0.0,0.0,7.0,91.2,12.53,7.33,37.82,5.89,0.4199999999999999,6.0,0.9749999999999999,13.930000000000001,0.0,0.0,0.0,0.0,0.0
34,"Anderson, Tanner",R,FF,14.0,0.0,0.0,91.2,12.53,7.33,37.82,5.89,-0.886,-6.33,0.07699999999999996,0.55,0.0,0.0,0.0,0.0,0.0
35,"Anderson, Tanner",R,SI,0.0,26.0,0.0,91.2,12.53,7.33,37.82,5.89,1.0559999999999998,4.06,1.9359999999999997,7.450000000000001,0.0,0.0,0.0,0.0,0.0
36,"Andriese, Matt",R,FC,0.0,0.0,44.0,91.2,6.84,15.12,37.87,5.95,4.495999999999999,10.22,5.554000000000001,12.619999999999997,0.0,0.0,0.0,0.0,0.0
37,"Andriese, Matt",R,FF,375.0,0.0,0.0,91.2,6.84,15.12,37.87,5.95,18.801,5.01,21.718,5.79,0.0,0.0,0.0,0.0,0.0
38,"Andriese, Matt",R,SI,0.0,38.0,0.0,91.2,6.84,15.12,37.87,5.95,1.4060000000000001,3.7,2.084,5.48,0.0,0.0,0.0,0.0,0.0
39,"Antone, Tejay",R,SI,0.0,170.0,0.0,96.8,11.47,15.59,34.6,6.47,5.969,3.51,8.342,4.91,0.0,0.0,0.0,0.0,0.0
