last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Ray, Robbie,592662,TOR,FF,4-Seamer,-1.2,-22,1866,59.4,471,0.222,0.431,0.316,24,24.6,21,0.243,0.457,0.328,43.2
Manaea, Sean,640455,OAK,SIFT,Sinker,-0.1,-2,1787,60,438,0.273,0.463,0.343,25,26,19.3,0.266,0.47,0.34,45.2
Gausman, Kevin,592332,SF,FF,4-Seamer,-0.7,-12,1583,52.7,421,0.257,0.416,0.331,19.5,19.2,19.5,0.278,0.485,0.352,44.8
Mahle, Tyler,641816,CIN,FF,4-Seamer,-0.6,-10,1697,53.1,387,0.236,0.435,0.337,26.9,34.6,21.4,0.215,0.365,0.308,41.2
Burnes, Corbin,669203,MIL,FC,Cutter,-1.6,-22,1356,52.3,364,0.237,0.328,0.288,32.1,32.1,31,0.199,0.291,0.255,32.1
Hendricks, Kyle,543294,CHC,SIFT,Sinker,0.1,1,1199,42.7,357,0.291,0.475,0.366,13.3,14.6,19,0.281,0.443,0.339,34.2
Richards, Garrett,572070,BOS,FF,4-Seamer,0.4,5,1236,53,355,0.304,0.487,0.389,17.8,14.6,15.8,0.313,0.515,0.395,52.5
Houser, Adrian,605288,MIL,SIFT,Sinker,-1.8,-23,1266,53.8,355,0.209,0.268,0.288,13.8,15.8,17.4,0.235,0.318,0.304,37.1
Cease, Dylan,656302,CWS,FF,4-Seamer,-0.1,-2,1383,46.8,352,0.264,0.449,0.361,23,19.3,18,0.276,0.502,0.385,46.8
Senzatela, Antonio,622608,COL,FF,4-Seamer,-0.3,-4,1303,54.2,352,0.292,0.385,0.319,13.9,10.8,12.3,0.296,0.421,0.331,41.2
Urías, Julio,628711,LAD,FF,4-Seamer,0.1,1,1331,47.8,347,0.276,0.483,0.354,21.2,23.6,19.9,0.252,0.462,0.332,38.1
Wheeler, Zack,554430,PHI,FF,4-Seamer,-1,-14,1360,42.4,339,0.224,0.317,0.279,26,33,24,0.216,0.315,0.272,32.3
Hill, Rich,448179,NYM,CUKC,Curveball,-0.9,-10,1105,44.3,337,0.209,0.298,0.287,23.9,20.2,16.6,0.23,0.353,0.31,29.2
