,player_name,p_throws,pitch_type,n_pitches,velo,HB,VB,RV,RV/100,xRV,xRV/100
0,"Abbott, Cory",R,FF,207.0,92.6,9.6,17.2,5.7,2.7,2.7,1.3
1,"Abreu, Albert",R,FF,103.0,97.8,11.7,15.4,-1.5,-1.5,-3.3,-3.2
2,"Abreu, Bryan",R,FF,310.0,95.7,8.0,17.1,-1.4,-0.4,1.0,0.3
3,"Acevedo, Domingo",R,FF,88.0,92.9,12.2,15.1,2.3,2.6,-0.2,-0.2
4,"Adam, Jason",R,FF,125.0,93.8,7.0,16.8,3.8,3.0,1.0,0.8
5,"Adams, Austin",R,FF,124.0,94.1,8.7,9.0,2.0,1.6,2.3,1.8
6,"Adon, Joan",R,FF,50.0,95.0,10.8,15.9,2.1,4.2,0.5,0.9
7,"Alcala, Jorge",R,FF,324.0,97.4,10.8,16.1,-2.0,-0.6,-5.7,-1.8
8,"Alcantara, Sandy",R,FF,668.0,98.1,10.6,13.8,-12.3,-1.8,-13.8,-2.1
9,"Alcántara, Sergio",R,FF,2.0,89.6,7.6,19.4,-0.4,-19.2,-0.2,-9.1
10,"Alexy, A.J.",R,FF,231.0,93.3,4.2,19.2,-5.2,-2.2,-4.6,-2.0
11,"Almonte, Yency",R,FF,394.0,94.2,7.1,11.3,0.7,0.2,0.1,0.0
12,"Altavilla, Dan",R,FF,11.0,96.1,12.1,15.5,-0.9,-8.5,-0.1,-1.1
13,"Alzolay, Adbert",R,FF,361.0,94.0,7.8,16.8,-2.6,-0.7,0.4,0.1
14,"Anderson, Chase",R,FF,275.0,91.5,6.1,17.6,2.0,0.7,2.7,1.0
15,"Anderson, Drew",R,FF,174.0,92.5,6.4,18.2,-3.7,-2.1,-0.9,-0.5
16,"Anderson, Ian",R,FF,1024.0,94.6,5.4,17.4,-19.8,-1.9,-13.4,-1.3
17,"Anderson, Nick",R,FF,68.0,93.0,5.0,18.3,-0.1,-0.2,-0.9,-1.3
18,"Anderson, Shaun",R,FF,144.0,93.2,-0.6,13.5,6.7,4.7,4.3,3.0
19,"Anderson, Tanner",R,FF,14.0,91.7,11.3,14.1,-0.6,-4.3,-0.1,-0.7
20,"Andriese, Matt",R,FF,375.0,92.0,6.9,17.4,-0.2,-0.1,2.4,0.6
21,"Archer, Chris",R,FF,147.0,92.0,5.9,19.1,0.2,0.1,4.9,3.4
