year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,McCullers Jr., Lance,621121,R,CH,380,85.8,1682,18.5,0.9518105989607758,0.9407127377791453,99.77129743465798,83.32191743886618,Changeup,94,165,195,16.4493799957918,16.44937999579182,-30,2,45,3,15,0,30,2:45,3:15,-0H 30M
,Gant, John,607231,R,CH,442,80.1,1486,14.5,0.7833884430893977,0.9645405620400159,118.32425076139997,110.57764954706076,Changeup,96,120,135,7.746601214339208,7.746601214339216,-15,2,0,2,15,0,15,2:00,2:15,-0H 15M
,Crowe, Wil,640444,R,CH,389,85,1713,11.2,0.5836221523147977,0.5832509404555727,136.15294471593774,110.04438859615409,Changeup,58,90,135,26.108556119783643,26.108556119783636,-45,1,30,2,15,0,45,1:30,2:15,-0H 45M
,Nola, Aaron,605400,R,CH,587,85.2,1511,16.1,0.8843410463847868,0.9931842229426364,103.83848799401702,91.91585688625979,Changeup,99,150,180,11.922631107757226,11.922631107757235,-30,2,30,3,0,0,30,2:30,3:00,-0H 30M
,Mills, Alec,621219,R,CH,322,79.1,1745,15.9,0.8034350346528151,0.8579512197578715,120.08942451296215,99.22649360579203,Changeup,86,120,165,20.862930907170124,20.86293090717012,-45,2,0,2,45,0,45,2:00,2:45,-0H 45M
,Brach, Brad,542960,R,CH,200,86.1,1907,16.4,0.8202071863634832,0.7917616177893085,116.50745471612316,86.4858900165892,Changeup,79,120,180,30.021564699533968,30.02156469953397,-60,2,0,3,0,1,0,2:00,3:00,-1H 00M
,Heuer, Codi,676051,R,CH,217,87.2,2267,18.4,0.8471366719767797,0.881394773517504,102.04477514877394,114.77878833390461,Changeup,88,150,135,-12.734013185130678,12.734013185130673,15,2,30,2,15,0,15,2:30,2:15,+0H 15M
,Irvin, Cole,608344,L,CH,586,84.3,1576,15.6,0.8277397801078914,0.9893824040585836,231.7228936792653,240.26261908510043,Changeup,99,615,600,-8.539725405835128,8.539725405835098,15,10,15,10,0,0,15,10:15,10:00,+0H 15M
,Morgan, Eli,669212,R,CH,322,74.8,2012,15.8,0.7194423002724462,0.8569730233077264,98.1608335053277,101.15086527413565,Changeup,86,165,165,-2.9900317688079525,2.990031768807953,0,2,45,2,45,0,0,2:45,2:45, 0H 00M
,Lauer, Eric,641778,L,CH,205,86.6,1481,16.6,0.946442674434832,0.9709406504680604,232.56344443314066,245.93112421958432,Changeup,97,615,585,-13.36767978644366,13.367679786443633,30,10,15,9,45,0,30,10:15,9:45,+0H 30M
