,,,,,,,,,,,,,,,,,,,,,
Player ID:,700561,,,,,,,,,,,,,,,,,,,,
Player Name:,Austin Steinfort,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number
1,Tue Apr 19 2022 7:57:57 PM,1650398277,-,N,-,-,74.28,-,-,-,-,-,-,-,-,-,-,-,-,700561@1650398277,RBB21YIQQ31R
2,Tue Apr 19 2022 7:58:17 PM,1650398297,-,N,-,-,78.54,-,-,-,-,-,-,-,-,-,-,-,-,700561@1650398297,RBB21YIQQ31R
3,Tue Apr 19 2022 7:58:41 PM,1650398321,Fastball,N,-3.63,14.43,88,2051.6,2005.3,97.7,1:2,0.8,17.0,10.1,-2.08,-3.80,5.89,1.30,12.19,700561@1650398321,RBB21YIQQ31R
4,Tue Apr 19 2022 7:58:52 PM,1650398332,Fastball,N,26.52,44.20,88.54,197.6,107.1,54.2,2:6,0.7,1.0,1.9,-0.36,-1.34,6.06,1.42,-57.17,700561@1650398332,RBB21YIQQ31R
5,Tue Apr 19 2022 7:59:04 PM,1650398344,Fastball,N,15.21,4.25,87.44,2168.2,2154.7,99.4,0:50,0.9,18.7,8.9,-1.16,-4.48,5.97,1.35,6.40,700561@1650398344,RBB21YIQQ31R
6,Tue Apr 19 2022 7:59:19 PM,1650398359,Fastball,N,-3.46,15.44,88.28,2108.9,2018.5,95.7,1:4,1,16.5,10.4,-2.53,-3.73,6.12,1.10,16.84,700561@1650398359,RBB21YIQQ31R
7,Tue Apr 19 2022 7:59:30 PM,1650398370,Fastball,N,-0.34,10.36,79.57,720.2,571.1,79.3,1:38,1,6.1,6.8,-2.15,-2.19,5.77,1.36,37.54,700561@1650398370,RBB21YIQQ31R
8,Tue Apr 19 2022 7:59:46 PM,1650398386,-,N,-,-,68.71,-,-,-,-,-,-,-,-,-,-,-,-,700561@1650398386,RBB21YIQQ31R
9,Tue Apr 19 2022 7:59:57 PM,1650398397,Fastball,N,15.35,40.63,68.05,2122.3,2039.9,96.1,6:14,0.8,-21.5,-3.6,0.60,3.34,6.05,1.07,16.02,700561@1650398397,RBB21YIQQ31R
10,Tue Apr 19 2022 8:00:07 PM,1650398407,Fastball,Y,-7.48,39.77,83.35,2300.3,1111.1,48.3,0:32,0.9,10.1,2.4,-2.21,-0.28,5.85,1.33,61.12,700561@1650398407,RBB21YIQQ31R
11,Tue Apr 19 2022 8:00:21 PM,1650398421,Fastball,N,-19.45,11.45,91.47,2241.2,2116.4,94.4,0:28,1,19.1,4.9,-3.53,-4.66,5.99,1.22,19.21,700561@1650398421,RBB21YIQQ31R
12,Tue Apr 19 2022 8:01:00 PM,1650398460,Fastball,Y,9.29,33.19,93.66,2312.5,2290.3,99,0:42,0.8,19.1,7.6,-1.81,-2.19,5.97,1.33,7.94,700561@1650398460,RBB21YIQQ31R
13,Tue Apr 19 2022 8:01:16 PM,1650398476,Cutter,N,20.51,35.04,87.19,2283.2,1049.3,46,0:32,0.9,9.3,2.2,-0.24,-1.37,5.82,1.34,62.64,700561@1650398476,RBB21YIQQ31R
14,Tue Apr 19 2022 8:01:32 PM,1650398492,Fastball,Y,4.47,29.77,93.29,2277.3,2242.2,98.5,1:2,0.8,17.4,10.4,-1.31,-2.31,5.78,1.23,10.07,700561@1650398492,RBB21YIQQ31R
15,Tue Apr 19 2022 8:01:46 PM,1650398506,Cutter,N,27.99,37.21,83.3,718.8,571.1,79.4,1:38,0.9,6.0,6.5,0.27,-0.66,5.82,1.42,37.39,700561@1650398506,RBB21YIQQ31R
16,Tue Apr 19 2022 8:02:02 PM,1650398522,Cutter,Y,4.22,40.96,84.79,2288.6,676.4,29.6,11:44,0.9,6.3,-1.5,-0.62,0.08,5.77,1.26,72.81,700561@1650398522,RBB21YIQQ31R
17,Tue Apr 19 2022 8:02:18 PM,1650398538,-,N,-,-,92.11,-,-,-,-,-,-,-,-,-,-,-,-,700561@1650398538,RBB21YIQQ31R
18,Tue Apr 19 2022 8:02:50 PM,1650398570,CurveBall,N,22.89,46.38,70.85,3027.2,1616.3,53.4,6:8,0.9,-13.4,0.4,1.64,3.86,5.83,0.89,-57.73,700561@1650398570,RBB21YIQQ31R
