pitch_count,woba,is_strike,is_ball,rv,,,,,,,,,,,,,,,,,,,,,
0-0,0.314,1,0,-0.036,,,,,,,,,,,,,,,,,,,,,
0-0,0.314,0,1,0.028,,,,,,,,,,,,,,,,,,,,,
0-1,0.262,1,0,-0.045,,,,,,,,,,,,,,,,,,,,,
0-1,0.262,0,1,0.021,,,,,,,,,,,,,,,,,,,,,
0-2,0.196,1,0,-0.134,,,,,,,,,,,,,,,,,,,,,
0-2,0.196,0,1,0.018,,,,,,,,,,,,,,,,,,,,,
1-0,0.355,1,0,-0.042,,,,,,,,,,,,,,,,,,,,,
1-0,0.355,0,1,0.055,,,,,,,,,,,,,,,,,,,,,
1-1,0.293,1,0,-0.048,,,,,,,,,,,,,,,,,,,,,
1-1,0.293,0,1,0.040,,,,,,,,,,,,,,,,,,,,,
1-2,0.223,1,0,-0.153,,,,,,,,,,,,,,,,,,,,,
1-2,0.223,0,1,0.034,,,,,,,,,,,,,,,,,,,,,
2-0,0.436,1,0,-0.057,,,,,,,,,,,,,,,,,,,,,
2-0,0.436,0,1,0.127,,,,,,,,,,,,,,,,,,,,,
2-1,0.352,1,0,-0.054,,,,,,,,,,,,,,,,,,,,,
2-1,0.352,0,1,0.081,,,,,,,,,,,,,,,,,,,,,
2-2,0.273,1,0,-0.187,,,,,,,,,,,,,,,,,,,,,
2-2,0.273,0,1,0.076,,,,,,,,,,,,,,,,,,,,,
3-0,0.622,1,0,-0.104,,,,,,,,,,,,,,,,,,,,,
3-0,0.622,0,1,0.048,,,,,,,,,,,,,,,,,,,,,
3-1,0.470,1,0,-0.059,,,,,,,,,,,,,,,,,,,,,
3-1,0.470,0,1,0.152,,,,,,,,,,,,,,,,,,,,,
3-2,0.384,1,0,-0.263,,,,,,,,,,,,,,,,,,,,,
3-2,0.384,0,1,0.211,,,,,,,,,,,,,,,,,,,,,
